sample_id,frequency_hz,frequency_mhz,amplitude_dbm,liquid_type,source_file,range,is_outlier,amplitude_denoised_dbm,amplitude_smoothed_dbm,amplitude_normalized,band
150-250_CSV0,189866667.0,189.866667,-56.37,Air,CSV0.csv,150-250,False,-56.37,-56.383406341941075,0.5631172949469013,180-220MHz
150-250_CSV0,190000000.0,190.0,-56.28,Air,CSV0.csv,150-250,False,-56.28,-56.25081399149976,0.5806542044208833,180-220MHz
150-250_CSV0,190133333.0,190.133333,-56.16,Air,CSV0.csv,150-250,False,-56.16,-56.12549199084595,0.5972295239868255,180-220MHz
150-250_CSV0,190266667.0,190.266667,-55.98,Air,CSV0.csv,150-250,False,-55.98,-55.99852566198032,0.6140223254429393,180-220MHz
150-250_CSV0,190400000.0,190.4,-55.87,Air,CSV0.csv,150-250,False,-55.87,-55.86988558352329,0.6310365001152956,180-220MHz
150-250_CSV0,190533333.0,190.533333,-55.72,Air,CSV0.csv,150-250,False,-55.72,-55.74140895717482,0.6480290563095007,180-220MHz
150-250_CSV0,190666667.0,190.666667,-55.64,Air,CSV0.csv,150-250,False,-55.64,-55.60874468780575,0.6655754779138677,180-220MHz
150-250_CSV0,190800000.0,190.8,-55.44,Air,CSV0.csv,150-250,False,-55.44,-55.47521085321928,0.6832369098219861,180-220MHz
150-250_CSV0,190933333.0,190.933333,-55.33,Air,CSV0.csv,150-250,False,-55.33,-55.34649558679235,0.700261028994288,180-220MHz
150-250_CSV0,191066667.0,191.066667,-55.2,Air,CSV0.csv,150-250,False,-55.2,-55.21522719843014,0.7176228287952686,180-220MHz
150-250_CSV0,191200000.0,191.2,-55.15,Air,CSV0.csv,150-250,False,-55.15,-55.085184700881925,0.7348224900101363,180-220MHz
150-250_CSV0,191333333.0,191.333333,-54.99,Air,CSV0.csv,150-250,False,-54.99,-54.95477280156842,0.7520710089856204,180-220MHz
150-250_CSV0,191466667.0,191.466667,-54.81,Air,CSV0.csv,150-250,False,-54.81,-54.830379208891074,0.7685235355956791,180-220MHz
150-250_CSV0,191600000.0,191.6,-54.69,Air,CSV0.csv,150-250,False,-54.69,-54.70926119646872,0.7845428279036438,180-220MHz
150-250_CSV0,191733333.0,191.733333,-54.55,Air,CSV0.csv,150-250,False,-54.55,-54.58590715920164,0.8008578609926786,180-220MHz
150-250_CSV0,191866667.0,191.866667,-54.45,Air,CSV0.csv,150-250,False,-54.45,-54.46154952598818,0.8173056315375434,180-220MHz
150-250_CSV0,192000000.0,192.0,-54.32,Air,CSV0.csv,150-250,False,-54.32,-54.33434455704408,0.834129995971755,180-220MHz
150-250_CSV0,192133333.0,192.133333,-54.22,Air,CSV0.csv,150-250,False,-54.22,-54.21415822164035,0.8500260629542746,180-220MHz
150-250_CSV0,192266667.0,192.266667,-54.11,Air,CSV0.csv,150-250,False,-54.11,-54.08757763975085,0.8667678448019592,180-220MHz
150-250_CSV0,192400000.0,192.4,-53.97,Air,CSV0.csv,150-250,False,-53.97,-53.96219025825363,0.8833518117591603,180-220MHz
150-250_CSV0,192533333.0,192.533333,-53.87,Air,CSV0.csv,150-250,False,-53.87,-53.83750245178093,0.8998432516298861,180-220MHz
150-250_CSV0,192666667.0,192.666667,-53.75,Air,CSV0.csv,150-250,False,-53.75,-53.72153971886167,0.915180697137051,180-220MHz
150-250_CSV0,192800000.0,192.8,-53.6,Air,CSV0.csv,150-250,False,-53.6,-53.60697940503363,0.9303326561017016,180-220MHz
150-250_CSV0,192933333.0,192.933333,-53.46,Air,CSV0.csv,150-250,False,-53.46,-53.4876724419738,0.946112415671783,180-220MHz
150-250_CSV0,193066667.0,193.066667,-53.32,Air,CSV0.csv,150-250,False,-53.32,-53.36682249100944,0.962096253675584,180-220MHz
150-250_CSV0,193200000.0,193.2,-53.23,Air,CSV0.csv,150-250,False,-53.23,-53.24442955214053,0.978284170113106,180-220MHz
150-250_CSV0,193333333.0,193.333333,-53.14,Air,CSV0.csv,150-250,False,-53.14,-53.11943772474596,0.9948158203531882,180-220MHz
150-250_CSV0,193466667.0,193.466667,-52.99,Air,CSV0.csv,150-250,False,-52.99,-52.99535469107483,1.0112272718547644,180-220MHz
150-250_CSV0,193600000.0,193.6,-52.9,Air,CSV0.csv,150-250,False,-52.9,-52.87291598561553,1.0274212414661688,180-220MHz
150-250_CSV0,193733333.0,193.733333,-52.79,Air,CSV0.csv,150-250,False,-52.79,-52.751242236024154,1.043514036599839,180-220MHz
150-250_CSV0,193866667.0,193.866667,-52.67,Air,CSV0.csv,150-250,False,-52.67,-52.63205295848248,1.0592782308656516,180-220MHz
150-250_CSV0,194000000.0,194.0,-52.53,Air,CSV0.csv,150-250,False,-52.53,-52.52081726054198,1.0739904699847642,180-220MHz
150-250_CSV0,194133333.0,194.133333,-52.38,Air,CSV0.csv,150-250,False,-52.38,-52.41098071265051,1.0885176549309268,180-220MHz
150-250_CSV0,194266667.0,194.266667,-52.27,Air,CSV0.csv,150-250,False,-52.27,-52.30083033671066,1.1030863473551344,180-220MHz
150-250_CSV0,194400000.0,194.4,-52.17,Air,CSV0.csv,150-250,False,-52.17,-52.1912160836868,1.117584131171015,180-220MHz
150-250_CSV0,194533333.0,194.533333,-52.05,Air,CSV0.csv,150-250,False,-52.05,-52.08017652827654,1.132270428116349,180-220MHz
150-250_CSV0,194666667.0,194.666667,-52.0,Air,CSV0.csv,150-250,False,-52.0,-51.97648577966588,1.145984758284132,180-220MHz
150-250_CSV0,194800000.0,194.8,-51.89,Air,CSV0.csv,150-250,False,-51.89,-51.8794900294207,1.158813595586956,180-220MHz
150-250_CSV0,194933333.0,194.933333,-51.81,Air,CSV0.csv,150-250,False,-51.81,-51.78500490356259,1.1713103730654193,180-220MHz
150-250_CSV0,195066667.0,195.066667,-51.76,Air,CSV0.csv,150-250,False,-51.76,-51.70497548218305,1.1818952123364395,180-220MHz
150-250_CSV0,195200000.0,195.2,-51.67,Air,CSV0.csv,150-250,False,-51.67,-51.63591369728602,1.1910294517237023,180-220MHz
