,feature_name,range,frequency_mhz
1615,50-150__65.066667MHz,50-150,65.066667
1616,50-150__65.200000MHz,50-150,65.2
1617,50-150__65.333333MHz,50-150,65.333333
1618,50-150__65.466667MHz,50-150,65.466667
1619,50-150__65.600000MHz,50-150,65.6
1620,50-150__65.733333MHz,50-150,65.733333
1621,50-150__65.866667MHz,50-150,65.866667
1622,50-150__66.000000MHz,50-150,66.0
1623,50-150__66.133333MHz,50-150,66.133333
1624,50-150__66.266667MHz,50-150,66.266667
1625,50-150__66.400000MHz,50-150,66.4
1626,50-150__66.533333MHz,50-150,66.533333
1627,50-150__66.666667MHz,50-150,66.666667
1628,50-150__66.800000MHz,50-150,66.8
1629,50-150__66.933333MHz,50-150,66.933333
1630,50-150__67.066667MHz,50-150,67.066667
1631,50-150__67.200000MHz,50-150,67.2
1632,50-150__67.333333MHz,50-150,67.333333
1633,50-150__67.466667MHz,50-150,67.466667
1634,50-150__67.600000MHz,50-150,67.6
1635,50-150__67.733333MHz,50-150,67.733333
1636,50-150__67.866667MHz,50-150,67.866667
1637,50-150__68.000000MHz,50-150,68.0
1638,50-150__68.133333MHz,50-150,68.133333
1639,50-150__68.266667MHz,50-150,68.266667
1640,50-150__68.400000MHz,50-150,68.4
1641,50-150__68.533333MHz,50-150,68.533333
1642,50-150__68.666667MHz,50-150,68.666667
1643,50-150__68.800000MHz,50-150,68.8
1644,50-150__68.933333MHz,50-150,68.933333
1645,50-150__69.066667MHz,50-150,69.066667
1646,50-150__69.200000MHz,50-150,69.2
1647,50-150__69.333333MHz,50-150,69.333333
1648,50-150__69.466667MHz,50-150,69.466667
1649,50-150__69.600000MHz,50-150,69.6
1650,50-150__69.733333MHz,50-150,69.733333
1651,50-150__69.866667MHz,50-150,69.866667
1652,50-150__70.000000MHz,50-150,70.0
1653,50-150__70.133333MHz,50-150,70.133333
1654,50-150__70.266667MHz,50-150,70.266667
1655,50-150__70.400000MHz,50-150,70.4
1656,50-150__70.533333MHz,50-150,70.533333
1657,50-150__70.666667MHz,50-150,70.666667
1658,50-150__70.800000MHz,50-150,70.8
1659,50-150__70.933333MHz,50-150,70.933333
1660,50-150__71.066667MHz,50-150,71.066667
1661,50-150__71.200000MHz,50-150,71.2
1662,50-150__71.333333MHz,50-150,71.333333
1663,50-150__71.466667MHz,50-150,71.466667
1664,50-150__71.600000MHz,50-150,71.6
1665,50-150__71.733333MHz,50-150,71.733333
1666,50-150__71.866667MHz,50-150,71.866667
1667,50-150__72.000000MHz,50-150,72.0
1668,50-150__72.133333MHz,50-150,72.133333
1669,50-150__72.266667MHz,50-150,72.266667
1670,50-150__72.400000MHz,50-150,72.4
1671,50-150__72.533333MHz,50-150,72.533333
1672,50-150__72.666667MHz,50-150,72.666667
1673,50-150__72.800000MHz,50-150,72.8
1674,50-150__72.933333MHz,50-150,72.933333
1675,50-150__73.066667MHz,50-150,73.066667
1676,50-150__73.200000MHz,50-150,73.2
1677,50-150__73.333333MHz,50-150,73.333333
1678,50-150__73.466667MHz,50-150,73.466667
1679,50-150__73.600000MHz,50-150,73.6
1680,50-150__73.733333MHz,50-150,73.733333
1681,50-150__73.866667MHz,50-150,73.866667
1682,50-150__74.000000MHz,50-150,74.0
1683,50-150__74.133333MHz,50-150,74.133333
1684,50-150__74.266667MHz,50-150,74.266667
1685,50-150__74.400000MHz,50-150,74.4
1686,50-150__74.533333MHz,50-150,74.533333
1687,50-150__74.666667MHz,50-150,74.666667
1688,50-150__74.800000MHz,50-150,74.8
1689,50-150__74.933333MHz,50-150,74.933333
1690,50-150__75.066667MHz,50-150,75.066667
1691,50-150__75.200000MHz,50-150,75.2
1692,50-150__75.333333MHz,50-150,75.333333
1693,50-150__75.466667MHz,50-150,75.466667
1694,50-150__75.600000MHz,50-150,75.6
1695,50-150__75.733333MHz,50-150,75.733333
1696,50-150__75.866667MHz,50-150,75.866667
1697,50-150__76.000000MHz,50-150,76.0
1698,50-150__76.133333MHz,50-150,76.133333
1699,50-150__76.266667MHz,50-150,76.266667
1700,50-150__76.400000MHz,50-150,76.4
1701,50-150__76.533333MHz,50-150,76.533333
1702,50-150__76.666667MHz,50-150,76.666667
1703,50-150__76.800000MHz,50-150,76.8
1704,50-150__76.933333MHz,50-150,76.933333
1705,50-150__77.066667MHz,50-150,77.066667
1706,50-150__77.200000MHz,50-150,77.2
1707,50-150__77.333333MHz,50-150,77.333333
1708,50-150__77.466667MHz,50-150,77.466667
1709,50-150__77.600000MHz,50-150,77.6
1710,50-150__77.733333MHz,50-150,77.733333
1711,50-150__77.866667MHz,50-150,77.866667
1712,50-150__78.000000MHz,50-150,78.0
1713,50-150__78.133333MHz,50-150,78.133333
1714,50-150__78.266667MHz,50-150,78.266667
1715,50-150__78.400000MHz,50-150,78.4
1716,50-150__78.533333MHz,50-150,78.533333
1717,50-150__78.666667MHz,50-150,78.666667
1718,50-150__78.800000MHz,50-150,78.8
1719,50-150__78.933333MHz,50-150,78.933333
1720,50-150__79.066667MHz,50-150,79.066667
1721,50-150__79.200000MHz,50-150,79.2
1722,50-150__79.333333MHz,50-150,79.333333
1723,50-150__79.466667MHz,50-150,79.466667
1724,50-150__79.600000MHz,50-150,79.6
1725,50-150__79.733333MHz,50-150,79.733333
1726,50-150__79.866667MHz,50-150,79.866667
1727,50-150__80.000000MHz,50-150,80.0
1728,50-150__80.133333MHz,50-150,80.133333
1729,50-150__80.266667MHz,50-150,80.266667
1730,50-150__80.400000MHz,50-150,80.4
1731,50-150__80.533333MHz,50-150,80.533333
1732,50-150__80.666667MHz,50-150,80.666667
1733,50-150__80.800000MHz,50-150,80.8
1734,50-150__80.933333MHz,50-150,80.933333
1735,50-150__81.066667MHz,50-150,81.066667
1736,50-150__81.200000MHz,50-150,81.2
1737,50-150__81.333333MHz,50-150,81.333333
1738,50-150__81.466667MHz,50-150,81.466667
1739,50-150__81.600000MHz,50-150,81.6
1740,50-150__81.733333MHz,50-150,81.733333
1741,50-150__81.866667MHz,50-150,81.866667
1742,50-150__82.000000MHz,50-150,82.0
1743,50-150__82.133333MHz,50-150,82.133333
1744,50-150__82.266667MHz,50-150,82.266667
1745,50-150__82.400000MHz,50-150,82.4
1746,50-150__82.533333MHz,50-150,82.533333
1747,50-150__82.666667MHz,50-150,82.666667
1748,50-150__82.800000MHz,50-150,82.8
1749,50-150__82.933333MHz,50-150,82.933333
1750,50-150__83.066667MHz,50-150,83.066667
1751,50-150__83.200000MHz,50-150,83.2
1752,50-150__83.333333MHz,50-150,83.333333
1753,50-150__83.466667MHz,50-150,83.466667
1754,50-150__83.600000MHz,50-150,83.6
1755,50-150__83.733333MHz,50-150,83.733333
1756,50-150__83.866667MHz,50-150,83.866667
1757,50-150__84.000000MHz,50-150,84.0
1758,50-150__84.133333MHz,50-150,84.133333
1759,50-150__84.266667MHz,50-150,84.266667
1760,50-150__84.400000MHz,50-150,84.4
1761,50-150__84.533333MHz,50-150,84.533333
1762,50-150__84.666667MHz,50-150,84.666667
1763,50-150__84.800000MHz,50-150,84.8
1764,50-150__84.933333MHz,50-150,84.933333
1765,50-150__85.066667MHz,50-150,85.066667
1766,50-150__85.200000MHz,50-150,85.2
1767,50-150__85.333333MHz,50-150,85.333333
1768,50-150__85.466667MHz,50-150,85.466667
1769,50-150__85.600000MHz,50-150,85.6
1770,50-150__85.733333MHz,50-150,85.733333
1771,50-150__85.866667MHz,50-150,85.866667
1772,50-150__86.000000MHz,50-150,86.0
1773,50-150__86.133333MHz,50-150,86.133333
1774,50-150__86.266667MHz,50-150,86.266667
1775,50-150__86.400000MHz,50-150,86.4
1776,50-150__86.533333MHz,50-150,86.533333
1777,50-150__86.666667MHz,50-150,86.666667
1778,50-150__86.800000MHz,50-150,86.8
1779,50-150__86.933333MHz,50-150,86.933333
1780,50-150__87.066667MHz,50-150,87.066667
1781,50-150__87.200000MHz,50-150,87.2
1782,50-150__87.333333MHz,50-150,87.333333
1783,50-150__87.466667MHz,50-150,87.466667
1784,50-150__87.600000MHz,50-150,87.6
1785,50-150__87.733333MHz,50-150,87.733333
1786,50-150__87.866667MHz,50-150,87.866667
1787,50-150__88.000000MHz,50-150,88.0
1788,50-150__88.133333MHz,50-150,88.133333
1789,50-150__88.266667MHz,50-150,88.266667
1790,50-150__88.400000MHz,50-150,88.4
1791,50-150__88.533333MHz,50-150,88.533333
1792,50-150__88.666667MHz,50-150,88.666667
1793,50-150__88.800000MHz,50-150,88.8
1794,50-150__88.933333MHz,50-150,88.933333
1795,50-150__89.066667MHz,50-150,89.066667
1796,50-150__89.200000MHz,50-150,89.2
1797,50-150__89.333333MHz,50-150,89.333333
1798,50-150__89.466667MHz,50-150,89.466667
1799,50-150__89.600000MHz,50-150,89.6
1800,50-150__89.733333MHz,50-150,89.733333
1801,50-150__89.866667MHz,50-150,89.866667
1802,50-150__90.000000MHz,50-150,90.0
1803,50-150__90.133333MHz,50-150,90.133333
1804,50-150__90.266667MHz,50-150,90.266667
1805,50-150__90.400000MHz,50-150,90.4
1806,50-150__90.533333MHz,50-150,90.533333
1807,50-150__90.666667MHz,50-150,90.666667
1808,50-150__90.800000MHz,50-150,90.8
1809,50-150__90.933333MHz,50-150,90.933333
1810,50-150__91.066667MHz,50-150,91.066667
1811,50-150__91.200000MHz,50-150,91.2
1812,50-150__91.333333MHz,50-150,91.333333
1813,50-150__91.466667MHz,50-150,91.466667
